date,code,oneDayAfter(open)(reg),oneDayAfter(open)(reg),oneDay(close-open)(reg),oneDay(close-close)(reg),IXICClose-,GSPCClose-,SOXClose-,IXICOpen-,GSPCOpen-,SOXOpen-
2012-04-17,0000,-0,-0.0097602,-0.0093991,0.0025155,0.0178847,0.0152504,0.0153592,0.0098291,0.0152504,-0.0016012,
2012-04-18,0000,-0,-0.0000934,0.0026775,0.0023207,-0.0037507,-0.0040718,-0.0087960,-0.0011954,-0.0041153,-0.0011484,
2012-04-19,0000,-0,-0.0150558,-0.0125773,-0.0153907,-0.0079433,-0.0059698,-0.0107944,-0.0014783,-0.0058970,-0.0112017,
2012-04-20,0000,-0,-0.0042644,-0.0010333,-0.0034834,-0.0023696,0.0011679,-0.0243355,-0.0184338,0.0011389,-0.0336609,
2012-04-23,0000,0,0.0126788,0.0055769,0.0023670,-0.0100995,-0.0084788,-0.0125453,-0.0005493,-0.0084567,0.0034393,
2012-04-24,0000,0,0.0057592,0.0013751,0.0085070,-0.0029882,0.0036663,-0.0076807,0.0153568,0.0037461,0.0039470,
2012-04-25,0000,-0,-0.0035988,-0.0099955,-0.0055615,0.0224549,0.0134609,0.0228839,0.0052713,0.0133248,0.0110230,
2012-04-26,0000,-0,-0.0174844,-0.0118695,-0.0054609,0.0068773,0.0066358,0.0211946,0.0100381,0.0068205,0.0187184,
2012-04-27,0000,0,0.0096569,0.0083314,0.0028287,0.0060570,0.0024085,0.0017071,-0.0000915,0.0021878,0.0007703,
2012-04-30,0000,0,0.0207664,0.0214998,0.0228077,-0.0074975,-0.0038987,-0.0060959,-0.0082337,0.0015937,-0.0083010,
2012-05-02,0000,-0,-0.0067365,-0.0015053,-0.0022560,0.0044087,0.0031377,0.0082052,0.0085132,-0.0022677,0.0119430,
2012-05-03,0000,-0,-0.0014957,0.0105468,0.0053786,-0.0117548,-0.0077179,-0.0253881,-0.0199857,-0.0077685,-0.0308274,
2012-05-04,0000,-0,-0.0047793,-0.0093220,-0.0216063,-0.0229879,-0.0164122,-0.0214857,-0.0206570,-0.0165986,-0.0203562,
