date,code,oneDayAfter(open)(reg),oneDayAfter(open)(reg),oneDay(close-open)(reg),oneDay(close-close)(reg),IXICClose-IXICOpen,GSPCClose-GSPCOpen,SOXClose-SOXOpen
2004-02-17,0000,-0,-0.0012395,-0.0076069,0.0008144,0.0057346,0.0096630,0.0162049,
2004-02-18,0000,0,0.0066004,0.0050378,0.0113253,-0.0037371,-0.0044885,0.0066608,
2004-02-19,0000,-0,-0.0008016,-0.0039742,-0.0023974,-0.0223611,-0.0041497,-0.0150176,
2004-02-20,0000,-0,-0.0054901,-0.0031174,0.0000525,-0.0069679,-0.0025784,-0.0096705,
2004-02-23,0000,-0,-0.0046029,-0.0092469,-0.0116341,-0.0183759,-0.0027345,-0.0282165,
2004-02-24,0000,0,0.0133752,0.0037009,0.0082853,0.0023386,-0.0016680,0.0028358,
2004-02-25,0000,0,0.0034459,-0.0024174,0.0073163,0.0061246,0.0040047,0.0179146,
2004-02-26,0000,0,0.0123460,0.0026531,0.0084867,0.0067206,0.0010831,0.0069630,
2004-02-27,0000,0,0.0212315,0.0104000,0.0200176,-0.0033747,-0.0007511,-0.0150918,
2004-03-01,0000,0,0.0024178,0.0015197,0.0124483,0.0101468,0.0095418,0.0211456,
2004-03-02,0000,-0,-0.0026295,-0.0071219,-0.0062159,-0.0082024,-0.0059786,-0.0056248,
2004-03-03,0000,0,0.0201342,0.0100752,0.0144908,-0.0018442,0.0016768,-0.0193587,
2004-03-04,0000,-0,-0.0155266,-0.0234213,-0.0130219,0.0099167,0.0033250,0.0160212,
2004-03-05,0000,-0,-0.0138803,-0.0139361,-0.0061146,0.0050302,0.0017202,-0.0088250,
2004-03-08,0000,0,0.0093725,0.0103299,0.0103844,-0.0215504,-0.0084205,-0.0391122,
2004-03-09,0000,-0,-0.0207979,-0.0134184,-0.0143987,-0.0068115,-0.0058041,0.0022617,
2004-03-10,0000,-0,-0.0065034,0.0078353,0.0006105,-0.0167808,-0.0148502,-0.0211636,
2004-03-11,0000,0,0.0169141,0.0028131,-0.0115981,-0.0049900,-0.0154593,-0.0051705,
2004-03-12,0000,-0,-0.0379735,-0.0394516,-0.0247529,0.0119563,0.0123062,0.0232117,
2004-03-15,0000,0,0.0013585,-0.0084541,-0.0070200,-0.0198948,-0.0145588,-0.0283207,
2004-03-16,0000,-0,-0.0124362,-0.0116282,-0.0017847,-0.0049869,0.0055911,0.0111102,
2004-03-17,0000,0,0.0310738,0.0315749,0.0308014,0.0102390,0.0116129,0.0206327,
2004-03-18,0000,-0,-0.0665359,0.0046324,0.0041173,-0.0044944,-0.0012741,-0.0133774,
2004-03-19,0000,-0,-0.0541430,-0.0000645,-0.0715685,-0.0126258,-0.0112995,-0.0373584,
