date,code,oneDayAfter(open)(reg),oneDay(close-open)(reg),oneDay(close-close)(reg),oneDayAfter(open),oneDay(close-open),oneDay(close-close),tc0-tot,tc0-tl1,ic0-ih1,gc0-gl1,gc0-gc1
2009-09-11,0000,-0,-0.0110363,-0.0110501,-1.0000000,-1.0000000,-1.0000000,0.0000136,0.0068583,-0.0014994,0.0140880,0.0089764,
2009-09-14,0000,0,0.0103944,0.0121572,1.0000000,1.0000000,1.0000000,-0.0017845,-0.0053604,0.0013625,0.0104256,0.0049555,
2009-09-15,0000,0,0.0033977,0.0126313,1.0000000,1.0000000,1.0000000,-0.0093517,0.0174347,0.0051649,0.0167485,0.0094050,
2009-09-16,0000,-0,-0.0033956,0.0049563,-1.0000000,-1.0000000,1.0000000,-0.0083935,0.0252559,0.0122917,0.0237097,0.0181706,
2009-09-17,0000,0,0.0083916,0.0065435,1.0000000,1.0000000,1.0000000,0.0018603,0.0114293,-0.0030093,0.0118443,0.0120696,
2009-09-18,0000,-0,-0.0027378,-0.0032109,-1.0000000,-1.0000000,-1.0000000,0.0004717,0.0099979,-0.0036289,0.0066461,-0.0004306,
2009-09-21,0000,-0,-0.0072031,-0.0044758,-1.0000000,-1.0000000,-1.0000000,-0.0027151,0.0090144,-0.0003648,0.0003663,-0.0007796,
2009-09-22,0000,-0,-0.0158904,-0.0125082,-1.0000000,-1.0000000,-1.0000000,-0.0033405,0.0040166,0.0018124,0.0132505,0.0031353,
2009-09-23,0000,-0,-0.0065386,-0.0071735,-1.0000000,-1.0000000,-1.0000000,0.0006304,-0.0117463,-0.0090362,-0.0051656,-0.0035725,
2009-09-24,0000,0,0.0063783,0.0028590,1.0000000,1.0000000,1.0000000,0.0035294,-0.0038243,-0.0285110,-0.0091456,-0.0198710,
2009-09-25,0000,0,-0.0065728,-0.0083203,1.0000000,-1.0000000,-1.0000000,0.0017331,0.0088738,-0.0246638,-0.0014075,-0.0157893,
2009-09-28,0000,0,0.0059408,0.0195653,1.0000000,1.0000000,1.0000000,-0.0138964,0.0000384,0.0111464,0.0205178,0.0114772,
2009-09-29,0000,0,0.0070048,0.0105458,1.0000000,1.0000000,1.0000000,-0.0035787,0.0231966,-0.0075328,0.0143597,0.0153025,
2009-09-30,0000,-0,-0.0047831,0.0047871,-1.0000000,-1.0000000,1.0000000,-0.0096162,0.0173388,-0.0089426,-0.0007095,-0.0055814,
2009-10-01,0000,0,-0.0004425,-0.0179995,1.0000000,-1.0000000,-1.0000000,0.0172465,0.0134402,-0.0390721,-0.0161383,-0.0298684,
2009-10-02,0000,0,0.0018473,0.0035090,1.0000000,1.0000000,1.0000000,-0.0016676,-0.0108933,-0.0316340,-0.0041357,-0.0310863,
2009-10-05,0000,0,0.0075026,0.0130134,1.0000000,1.0000000,1.0000000,-0.0055835,0.0062315,0.0019341,0.0197124,0.0101974,
2009-10-06,0000,-0,-0.0011999,0.0095431,-1.0000000,-1.0000000,1.0000000,-0.0108465,0.0205718,0.0136863,0.0273058,0.0279790,
2009-10-07,0000,-0,-0.0149667,-0.0140405,-1.0000000,-1.0000000,-1.0000000,-0.0009134,0.0211759,-0.0003791,0.0147128,0.0161879,
2009-10-08,0000,0,-0.0001096,0.0090663,1.0000000,-1.0000000,1.0000000,-0.0092599,-0.0079418,0.0064032,0.0144348,0.0100987,
2009-10-09,0000,-0,-0.0026698,0.0036737,-1.0000000,-1.0000000,1.0000000,-0.0063669,0.0094612,-0.0001730,0.0106954,0.0129819,
2009-10-12,0000,0,0.0147619,-0.0004318,1.0000000,1.0000000,-1.0000000,0.0151871,0.0122515,-0.0002244,0.0122562,0.0099518,
2009-10-13,0000,0,0.0060657,0.0128837,1.0000000,1.0000000,1.0000000,-0.0069070,0.0078193,-0.0074910,0.0014536,0.0015841,
2009-10-14,0000,-0,-0.0088128,0.0019000,-1.0000000,-1.0000000,1.0000000,-0.0107332,0.0291356,0.0119140,0.0231772,0.0144961,
2009-10-15,0000,0,0.0003979,0.0006092,1.0000000,1.0000000,1.0000000,-0.0002114,0.0118814,-0.0003037,0.0163055,0.0213121,
2009-10-16,0000,0,0.0050301,0.0046728,1.0000000,1.0000000,1.0000000,0.0003590,0.0029190,-0.0076456,0.0011676,-0.0039901,
2009-10-19,0000,-0,-0.0070304,0.0002837,-1.0000000,-1.0000000,1.0000000,-0.0073162,0.0077316,0.0053255,0.0149193,0.0012296,
2009-10-20,0000,-0,-0.0065247,-0.0067545,-1.0000000,-1.0000000,-1.0000000,0.0002283,0.0080363,-0.0076913,0.0041978,0.0030979,
2009-10-21,0000,-0,-0.0111489,-0.0122990,-1.0000000,-1.0000000,-1.0000000,0.0011361,-0.0067545,-0.0141487,-0.0044017,-0.0152672,
